Modello,Anno,Targa
Fiat Doblò Cargo 1.6 MJT,2021,FL123AB
Volkswagen Transporter T6 2.0 TDI,2020,FL456CD
Ford Transit Custom 2.0 EcoBlue,2022,FL789EF
Renault Trafic 1.6 dCi,2019,FL321GH
Fiat Fiorino 1.3 MJT,2021,FL654IJ
Mercedes-Benz Sprinter 314 CDI,2020,FL987KL
Peugeot Partner 1.5 BlueHDi,2022,FL147MN
Citroën Berlingo 1.5 BlueHDi,2021,FL258OP
Opel Vivaro 1.5 CDTI,2020,FL369QR
Ford Transit 2.0 EcoBlue 130,2019,FL741ST
Volkswagen Caddy 2.0 TDI,2022,FL852UV
Fiat Ducato 2.3 MJT 140,2021,FL963WX
Renault Master 2.3 dCi,2020,FL159YZ
Mercedes-Benz Vito 114 CDI,2021,GH111AB
Iveco Daily 35S14,2019,GH222CD
Peugeot Boxer 2.2 BlueHDi,2020,GH333EF
Toyota Proace 2.0 D-4D,2022,GH444GH
Nissan NV300 1.6 dCi,2021,GH555IJ
Volkswagen Crafter 2.0 TDI,2020,GH666KL
Fiat Talento 1.6 EcoJet,2019,GH777MN
Fiat Panda 1.2,2021,MM100OP
Volkswagen Golf 1.6 TDI,2020,MM200QR
Ford Focus 1.5 EcoBlue,2022,MM300ST
Renault Clio 1.5 dCi,2021,MM400UV
Toyota Yaris 1.5 Hybrid,2022,MM500WX
Opel Corsa 1.2 Turbo,2021,MM600YZ
Škoda Octavia 2.0 TDI,2020,MM700AB
Hyundai i30 1.6 CRDi,2019,MM800CD
Kia Ceed 1.4 T-GDI,2021,MM900EF
Dacia Sandero 1.0 TCe,2022,MM010GH
Volkswagen Passat 2.0 TDI,2020,RM111IJ
BMW 318d,2021,RM222KL
Audi A4 2.0 TDI,2020,RM333MN
Mercedes-Benz Classe C 200d,2022,RM444OP
Volvo V60 D3,2021,RM555QR
Toyota Corolla 1.8 Hybrid,2022,RM666ST
Ford Mondeo 2.0 EcoBlue,2019,RM777UV
Škoda Superb 2.0 TDI,2020,RM888WX
Peugeot 508 1.5 BlueHDi,2021,RM999YZ
Citroën C5 Aircross 1.5 BlueHDi,2022,RM010AB
Renault Megane 1.5 dCi,2021,TO101CD
Fiat Tipo 1.6 MJT,2020,TO202EF
Opel Astra 1.5 CDTI,2019,TO303GH
Seat Leon 2.0 TDI,2021,TO404IJ
Mazda 6 2.2 Skyactiv-D,2020,TO505KL
Honda CR-V 1.6 i-DTEC,2022,TO606MN
Volkswagen Tiguan 2.0 TDI,2021,TO707OP
Ford Kuga 2.0 EcoBlue,2020,TO808QR
Peugeot 3008 1.5 BlueHDi,2022,TO909ST
Nissan Qashqai 1.5 dCi,2021,TO010UV
